x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
0.875935,-0.912998,,,,,,,,11.8,,,,0.0320823,0.07757214,9.68694,0.01810949,0.02428803,0.01981392,0
0.8799301,-0.920787,,,,,,,,12,,,,0.03734955,0.05841852,9.667308,0.02130529,0.02450108,0.01235707,-0.027886
0.8792056,-0.9262437,,,,,,,,12.2,,,,0.002394202,0.04644751,9.742965,0.01896171,0.02045308,0.01150486,-0.050254
0.8816337,-0.9325421,,,,,,,,12.4,,,,0.06607997,0.1039084,9.756372,0.01363538,0.02588593,0.00990696,-0.06829
0.8846761,-0.9385706,,,,,,,,12.6,,,,0.03734955,0.04836287,9.708009,0.01768339,0.02695119,0.008096009,-0.083267
0.8882045,-0.9432555,,,,,,,,12.8,,,,0.07565677,0.1268927,9.783666,0.01587244,0.0241815,0.01555286,-0.096524
0.890188,-0.9479011,,,,,,,,13,,,,0.02585738,0.104866,9.741528,0.01352886,0.02460761,0.004687164,-0.110539
0.8881997,-0.951519,,,,,,,,13.2,,,,0.0296881,0.104866,9.717586,0.01906823,0.01597897,0.01065264,-0.125987
0.8910072,-0.9567432,,,,,,,,13.4,,,,-0.8710106,-0.5046977,9.553344,0.01896171,0.001704423,0.03376888,-0.14152
0.8952401,-0.9622064,,,,,,,,13.6,,,,-0.9069236,1.505474,10.35109,0.01672465,0.02929477,-0.000639159,-0.156342
0.9010223,-0.9696356,,,,,,,,13.8,,,,-0.3529053,-0.1005565,8.971553,0.0294013,0.03930826,0.03579288,-0.171806
0.9043302,-0.9779343,,,,,,,,14,,,,0.5358223,2.170583,9.129091,0.01917476,0.03099919,-0.01214401,-0.190003
0.9045176,-0.9852135,,,,,,,,14.2,,,,0.06607997,-1.488236,9.525571,0.05475459,0.04474111,0.07659251,-0.21385
0.9075003,-0.9939553,,,,,,,,14.4,,,,-8.710585,-1.773146,6.792829,0.0716923,-0.1117462,0.006178534,-0.23955
0.9080717,-1.00363,,,,,,,,14.6,,,,-1.145386,-3.147897,12.21618,-0.001704423,-0.01416802,-0.04090615,-0.27265
0.9152719,-1.018656,,,,,,,,14.8,,,,18.69728,-7.375578,9.955569,0.1784318,-0.1211206,0.1445564,-0.31226
0.926345,-1.040064,,,,,,,,15,,,,77.47445,5.623501,12.50779,-0.2789928,0.1896171,0.2664226,-0.37382
0.9381859,-1.075914,,,,,,,,15.2,,,,86.73618,-9.234915,16.67083,0.06956176,0.1622398,0.1597897,-0.44172
0.9487577,-1.120332,,,,,,,,15.4,,,,-11.74787,-11.27956,8.886798,0.1518002,0.1803493,0.04932174,-0.50273
0.95952,-1.167907,,,,,,,,15.6,,,,56.60611,44.43399,8.720161,0.0350472,0.07190535,0.007456851,-0.55589
0.9715559,-1.190154,,,,,,,,15.8,,,,53.22119,11.45578,8.758947,-0.390739,0.4545483,0.515375,-0.59766
0.9987776,-1.222547,,,,,,,,16,,,,6.522763,-3.168008,7.070557,-0.1814145,0.4264254,0.3781689,-0.62314
1.018546,-1.252874,,,,,,,,16.2,,,,-9.295249,0.6033388,19.41841,-0.2575809,0.2494849,0.4421913,-0.62673
1.035009,-1.255967,,,,,,,,16.4,,,,13.80018,10.02309,8.574594,-0.1229315,0.1219728,0.3995807,-0.60375
