x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
-10.33625,-3.925122,,,,,,,,1,,,,6.045838,-38.13532,12.81616,0.2241316,0.0958738,-0.5786517,0
-10.32025,-3.933934,,,,,,,,1.2,,,,-17.53274,-38.38097,17.88133,0.1138768,-0.1195227,-0.2251969,-0.00742
-10.29855,-3.947372,,,,,,,,1.4,,,,-84.03696,1.732444,16.15847,0.02231729,-0.06162555,-0.2710565,-0.00266
-10.28846,-3.96892,,,,,,,,1.6,,,,-16.42374,-6.988675,6.541917,0.1376322,0.04032026,0.1561678,0.00898
-10.31169,-4.012104,,,,,,,,1.8,,,,-23.92574,-0.9911995,14.80287,0.08436894,0.1897769,0.1366202,0.02384
-10.35672,-4.070884,,,,,,,,2,,,,46.61032,31.3559,1.159751,-0.1373658,0.1195759,0.2210956,0.03324
-10.39872,-4.124039,,,,,,,,2.2,,,,22.04773,29.0522,19.3983,-0.101786,-0.01810949,-0.4071973,0.05745
-10.42694,-4.172507,,,,,,,,2.4,,,,-21.39219,-15.95831,6.567296,0.115741,0.2493251,0.3240534,0.09728
-10.44115,-4.221598,,,,,,,,2.6,,,,49.37035,15.74571,2.507208,0.01970739,0.2556635,-0.2482066,0.14603
-10.44199,-4.284923,,,,,,,,2.8,,,,53.57505,21.49802,11.14357,0.1064199,-0.02535329,-0.2862898,0.21417
-10.44158,-4.338543,,,,,,,,3,,,,-59.70421,-33.26456,17.29667,-0.2486327,0.04607269,0.4604073,0.28509
-10.43261,-4.397682,,,,,,,,3.2,,,,23.93914,5.797799,10.18015,0.1683118,0.0898018,0.1645834,0.354
-10.42785,-4.465187,,,,,,,,3.4,,,,6.423164,-29.99456,8.063671,-0.1382713,0.08713863,0.361604,0.40957
-10.37776,-4.517409,,,,,,,,3.6,,,,40.79863,22.54237,7.417237,0.0743022,-0.2413889,0.01326254,0.46411
-10.27855,-4.517908,,,,,,,,3.8,,,,-35.78996,-0.1752556,16.02535,0.1151551,-0.3387541,-0.2869822,0.5323
-10.17105,-4.498355,,,,,,,,4,,,,-30.32017,22.67453,14.09514,0.1287905,0.05539375,-0.122026,0.61548
-10.06789,-4.451777,,,,,,,,4.2,,,,-4.945942,-11.24796,19.76605,0.1733185,-0.001917476,0.1116397,0.71776
-9.967155,-4.362799,,,,,,,,4.4,,,,15.17397,0.135033,7.166325,0.1938249,0.2045308,-0.2051167,0.82851
